object_type,object_name,depends_on,depends_on_module
PROCEDURE,dt_checkoutobject,sp_OACreate,unknown / نیازمند بررسی
PROCEDURE,dt_checkoutobject,sp_OAGetProperty,unknown / نیازمند بررسی
PROCEDURE,dt_checkoutobject,sp_OAMethod,unknown / نیازمند بررسی
FUNCTION,MakeDate,AddZeroToMake2Digit,unknown / نیازمند بررسی
FUNCTION,MakeDate,MakeDate,unknown / نیازمند بررسی
VIEW,V_Shakhes2,Base_ShakhesYerSeMahe,base / فهرست‌بها و اطلاعات پایه
VIEW,V_Shakhes2,V_Shakhes2,view / ویوهای محاسباتی و گزارش‌گیری
VIEW,V_Shakhes2,base_shfs,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,dt_addtosourcecontrol,dt_addtosourcecontrol,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,dt_addtosourcecontrol,dt_adduserobject_vcs,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,dt_addtosourcecontrol,dt_displayoaerror,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,dt_addtosourcecontrol,dt_setpropertybyid,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,dt_addtosourcecontrol,sp_OACreate,unknown / نیازمند بررسی
PROCEDURE,dt_addtosourcecontrol,sp_OAMethod,unknown / نیازمند بررسی
VIEW,viewbgml,brv_bgml,brv / برآورد، قرارداد، ریزمتره، منابع
VIEW,viewbgml,viewbgml,unknown / نیازمند بررسی
VIEW,viwBase_Deleted92From88,viwBase_Deleted92From88,view / ویوهای محاسباتی و گزارش‌گیری
VIEW,viwBase_Deleted92From88,viwbase88,view / ویوهای محاسباتی و گزارش‌گیری
VIEW,viwBase_Deleted92From88,viwbase92,view / ویوهای محاسباتی و گزارش‌گیری
FUNCTION,fn_diagramobjects,fn_diagramobjects,unknown / نیازمند بررسی
FUNCTION,fn_diagramobjects,sp_alterdiagram,unknown / نیازمند بررسی
FUNCTION,fn_diagramobjects,sp_creatediagram,unknown / نیازمند بررسی
FUNCTION,fn_diagramobjects,sp_dropdiagram,unknown / نیازمند بررسی
FUNCTION,fn_diagramobjects,sp_helpdiagramdefinition,unknown / نیازمند بررسی
FUNCTION,fn_diagramobjects,sp_helpdiagrams,unknown / نیازمند بررسی
FUNCTION,fn_diagramobjects,sp_renamediagram,unknown / نیازمند بررسی
FUNCTION,fn_diagramobjects,sp_upgraddiagrams,unknown / نیازمند بررسی
FUNCTION,fn_diagramobjects,sysdiagrams,system / آبجکت‌های سیستمی SQL Server
FUNCTION,GetCofhOfNmmhb,base_nmmhb,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase1400,base_book,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase1400,base_fhbh,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase1400,base_fsbs,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase1400,brv_mult,brv / برآورد، قرارداد، ریزمتره، منابع
VIEW,viwBase1400,viwBase1400,view / ویوهای محاسباتی و گزارش‌گیری
VIEW,viwBaseDifference92From88,Compare_Text_for_Base,unknown / نیازمند بررسی
VIEW,viwBaseDifference92From88,viwBaseDifference92From88,view / ویوهای محاسباتی و گزارش‌گیری
VIEW,viwBaseDifference92From88,viwbase88,view / ویوهای محاسباتی و گزارش‌گیری
VIEW,viwBaseDifference92From88,viwbase92,view / ویوهای محاسباتی و گزارش‌گیری
VIEW,viwBaseDifference92From88,Compare_Text_for_Base,unknown / نیازمند بررسی
VIEW,viwBaseDifference92From88,viwBaseDifference92From88,view / ویوهای محاسباتی و گزارش‌گیری
VIEW,viwBaseDifference92From88,viwbase88,view / ویوهای محاسباتی و گزارش‌گیری
VIEW,viwBaseDifference92From88,viwbase92,view / ویوهای محاسباتی و گزارش‌گیری
VIEW,viewbgml,brv_bgml,brv / برآورد، قرارداد، ریزمتره، منابع
VIEW,viewbgml,viewbgml,unknown / نیازمند بررسی
VIEW,v3,base_fhbh,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase_Deleted92From88,viwBase_Deleted92From88,view / ویوهای محاسباتی و گزارش‌گیری
VIEW,viwBase_Deleted92From88,viwbase88,view / ویوهای محاسباتی و گزارش‌گیری
VIEW,viwBase_Deleted92From88,viwbase92,view / ویوهای محاسباتی و گزارش‌گیری
FUNCTION,get_new_id,brv_mogs,brv / برآورد، قرارداد، ریزمتره، منابع
FUNCTION,get_new_id,get_new_id,unknown / نیازمند بررسی
FUNCTION,get_new_id,val,unknown / نیازمند بررسی
TRIGGER,type_situ_DELETE,brv_TadilKosorat,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_acts,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_ader,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_bgml,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_documents,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_dstn_fromto,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_dstn_fromto_rzmt,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_dstn_main,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_dstn_main_rzmt,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_fhbh,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_fhpy,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_fspy,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_grop,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_hmbs,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_hmpy,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_hmpy_rzmt,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_intp,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_khmt,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_kosorat,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_m,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_mult,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_mult_sub,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_ovhd,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_ovpr,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_ovtj,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_rzmt,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_tonl,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_type_situ,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,brv_zrtb,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,type_situ_DELETE,type_situ_DELETE,unknown / نیازمند بررسی
PROCEDURE,MakeDB,Base_ItemType,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,Base_Months,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,Base_SeMahe,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,Base_ShakhesYerSeMahe,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,MakeDB,unknown / نیازمند بررسی
PROCEDURE,MakeDB,base_IntpVaziat,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,base_NoteGroup,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,base_PersonalityTyp,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,base_ShakhesType,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,base_TajhzType,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,base_ZrLc,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,base_ader,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,base_book,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,base_book_list,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,base_fhbh,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,base_fsbs,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,base_nmmhb,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,base_pvst,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,base_shfs,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,base_sorc,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,base_sorc_list,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,base_tyun,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,base_unit,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,base_unit_raw,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,MakeDB,brv_mult,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,MakeDB,dbo,unknown / نیازمند بررسی
PROCEDURE,UpdateYearCol_Taksa,Atm_detail_fhbh,unknown / نیازمند بررسی
PROCEDURE,UpdateYearCol_Taksa,BaseBarcode,unknown / نیازمند بررسی
PROCEDURE,UpdateYearCol_Taksa,BaseSituNoe,unknown / نیازمند بررسی
PROCEDURE,UpdateYearCol_Taksa,Base_ShakhesYerSeMahe,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,Report_Frames,unknown / نیازمند بررسی
PROCEDURE,UpdateYearCol_Taksa,Reports,unknown / نیازمند بررسی
PROCEDURE,UpdateYearCol_Taksa,Reports_Tip,unknown / نیازمند بررسی
PROCEDURE,UpdateYearCol_Taksa,TblCtrl,unknown / نیازمند بررسی
PROCEDURE,UpdateYearCol_Taksa,UpdateYearCol_Taksa,unknown / نیازمند بررسی
PROCEDURE,UpdateYearCol_Taksa,atm_contract,unknown / نیازمند بررسی
PROCEDURE,UpdateYearCol_Taksa,atm_detail_fhbh,unknown / نیازمند بررسی
PROCEDURE,UpdateYearCol_Taksa,atm_detail_fhbh_project,unknown / نیازمند بررسی
PROCEDURE,UpdateYearCol_Taksa,base_DocFanni,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_Style_List,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_Style_Title,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_ZrLc,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_acts,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_acts_items,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_acts_type,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_acts_unit,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_ader,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_book,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_dstb,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_fhbh,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_fosi,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_fs,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_fsbs,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_grop,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_grop_name,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_grop_raw,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_hmbs,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_mola_Year,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_mola_haml,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_mola_year,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_nmmhb,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_pakati,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_pvst,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_pvst_fosi,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_shfs,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_shkl,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_shrs,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_sorc,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_tatbigh,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_year,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_zrlc,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,base_zrtj,base / فهرست‌بها و اطلاعات پایه
PROCEDURE,UpdateYearCol_Taksa,brv_Contract,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,UpdateYearCol_Taksa,brv_Forms,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,UpdateYearCol_Taksa,brv_Tree_Report,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,UpdateYearCol_Taksa,brv_ahta,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,UpdateYearCol_Taksa,brv_color,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,UpdateYearCol_Taksa,brv_contract,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,UpdateYearCol_Taksa,brv_fhbh,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,UpdateYearCol_Taksa,brv_intp,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,UpdateYearCol_Taksa,brv_mult,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,UpdateYearCol_Taksa,dbo,unknown / نیازمند بررسی
PROCEDURE,UpdateYearCol_Taksa,pek_ztadil,peik / گزارش‌ها و درخت گزارش
PROCEDURE,UpdateYearCol_Taksa,smn_Tender_FieldPrice,smn / صورت‌وضعیت، نظارت، ماهانه
PROCEDURE,UpdateYearCol_Taksa,smn_contract,smn / صورت‌وضعیت، نظارت، ماهانه
PROCEDURE,UpdateYearCol_Taksa,tbl_letters,unknown / نیازمند بررسی
PROCEDURE,UpdateYearCol_Taksa,tbl_words,unknown / نیازمند بررسی
VIEW,viwBase98,base_book,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase98,base_fhbh,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase98,base_fsbs,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase98,brv_mogs,brv / برآورد، قرارداد، ریزمتره، منابع
VIEW,viwBase98,brv_nmmhb,brv / برآورد، قرارداد، ریزمتره، منابع
VIEW,viwBase98,brv_sorc,brv / برآورد، قرارداد، ریزمتره، منابع
VIEW,viwBase98,brv_sorc_all,brv / برآورد، قرارداد، ریزمتره، منابع
VIEW,viwBase98,viwBase98,view / ویوهای محاسباتی و گزارش‌گیری
PROCEDURE,change_book_in_project,brv_HelpFilm,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,change_book_in_project,brv_MessageType,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,change_book_in_project,brv_SetSms,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,change_book_in_project,brv_Tender_AlfaFactor,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,change_book_in_project,brv_Tender_Import,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,change_book_in_project,brv_Tender_ImportFactors_Base,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,change_book_in_project,brv_Tender_Stages,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,change_book_in_project,brv_Tender_TendererCount,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,change_book_in_project,brv_special_type,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,change_book_in_project,change_book_in_project,unknown / نیازمند بررسی
PROCEDURE,change_book_in_project,dbo,unknown / نیازمند بررسی
PROCEDURE,change_book_in_project,pek_dis_point,peik / گزارش‌ها و درخت گزارش
PROCEDURE,change_book_in_project,pek_dis_state,peik / گزارش‌ها و درخت گزارش
PROCEDURE,change_book_in_project,pek_dis_zone,peik / گزارش‌ها و درخت گزارش
PROCEDURE,sp_helpdiagrams,sp_helpdiagrams,unknown / نیازمند بررسی
PROCEDURE,sp_helpdiagrams,sysdiagrams,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,sp_creatediagram,sp_creatediagram,unknown / نیازمند بررسی
PROCEDURE,sp_creatediagram,sysdiagrams,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,CopyMog,brv_mogs,brv / برآورد، قرارداد، ریزمتره، منابع
PROCEDURE,sp_helpdiagramdefinition,sp_helpdiagramdefinition,unknown / نیازمند بررسی
PROCEDURE,sp_helpdiagramdefinition,sysdiagrams,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,sp_creatediagram,sp_creatediagram,unknown / نیازمند بررسی
PROCEDURE,sp_creatediagram,sysdiagrams,system / آبجکت‌های سیستمی SQL Server
PROCEDURE,sp_renamediagram,sp_renamediagram,unknown / نیازمند بررسی
PROCEDURE,sp_renamediagram,sysdiagrams,system / آبجکت‌های سیستمی SQL Server
VIEW,viwTatbigh_Paykar,viwTatbigh_Paykar,view / ویوهای محاسباتی و گزارش‌گیری
FUNCTION,GetNuse,GetNuse,unknown / نیازمند بررسی
FUNCTION,GetNuse,brv_fhbh,brv / برآورد، قرارداد، ریزمتره، منابع
FUNCTION,fn_diagramobjects,fn_diagramobjects,unknown / نیازمند بررسی
FUNCTION,fn_diagramobjects,sp_alterdiagram,unknown / نیازمند بررسی
FUNCTION,fn_diagramobjects,sp_creatediagram,unknown / نیازمند بررسی
FUNCTION,fn_diagramobjects,sp_dropdiagram,unknown / نیازمند بررسی
FUNCTION,fn_diagramobjects,sp_helpdiagramdefinition,unknown / نیازمند بررسی
FUNCTION,fn_diagramobjects,sp_helpdiagrams,unknown / نیازمند بررسی
FUNCTION,fn_diagramobjects,sp_renamediagram,unknown / نیازمند بررسی
FUNCTION,fn_diagramobjects,sp_upgraddiagrams,unknown / نیازمند بررسی
FUNCTION,fn_diagramobjects,sysdiagrams,system / آبجکت‌های سیستمی SQL Server
FUNCTION,GetCofhOfNmmhb,base_nmmhb,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase1400,base_book,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase1400,base_fhbh,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase1400,base_fsbs,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase1400,viwBase1400,view / ویوهای محاسباتی و گزارش‌گیری
TRIGGER,brv_contract_DELETE,brv_contract,brv / برآورد، قرارداد، ریزمتره، منابع
TRIGGER,brv_contract_DELETE,brv_contract_DELETE,brv / برآورد، قرارداد، ریزمتره، منابع
VIEW,viwBase99,base_book,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase99,base_fhbh,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase99,base_fsbs,base / فهرست‌بها و اطلاعات پایه
VIEW,viwBase99,viwBase99,view / ویوهای محاسباتی و گزارش‌گیری
PROCEDURE,CopyProjectProp,CopyProjectProp,unknown / نیازمند بررسی
PROCEDURE,CopyProjectProp,brv_contract,brv / برآورد، قرارداد، ریزمتره، منابع
VIEW,distance_view,Base_ShakhesYerSeMahe,base / فهرست‌بها و اطلاعات پایه
VIEW,distance_view,base_hmbs,base / فهرست‌بها و اطلاعات پایه
VIEW,distance_view,brv_grop,brv / برآورد، قرارداد، ریزمتره، منابع
VIEW,distance_view,brv_mogs,brv / برآورد، قرارداد، ریزمتره، منابع
VIEW,distance_view,brv_nmmhb,brv / برآورد، قرارداد، ریزمتره، منابع
VIEW,distance_view,distance_view,unknown / نیازمند بررسی
